epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,666.902,1.44256,2.41334,1.02698,0.2152,0.56167,0.2037,0.11511,1.38125,12.7561,1.05617,0.00015,0.00015,0.00015
2,1340.66,1.30928,1.52854,0.98929,0.10029,0.01655,0.05229,0.03308,1.68622,742.152,1.57277,0.000284425,0.000284425,0.000284425
3,1980.84,1.33323,1.20648,1.03163,0.11232,0.07877,0.02834,0.0162,2.78937,2881.36,8.03319,0.00039245,0.00039245,0.00039245
4,2602.15,1.30737,1.04835,1.05475,0.835,0.6842,0.80383,0.47801,1.3592,1.22037,1.0597,0.000474075,0.000474075,0.000474075
5,3223.91,1.26977,0.887,1.01719,0.83573,0.79464,0.88924,0.51636,1.35445,0.95979,1.05336,0.0005293,0.0005293,0.0005293
6,3841.44,1.26192,0.85886,1.02913,0.90104,0.78741,0.88369,0.54186,1.34514,0.85312,1.0479,0.000558125,0.000558125,0.000558125
7,4463.26,1.27023,0.80447,1.02599,0.91027,0.94408,0.9665,0.60365,1.25931,0.74115,1.01556,0.000505,0.000505,0.000505
8,5055.98,1.25256,0.68388,1.00761,0.69926,0.94952,0.72391,0.47118,1.22657,1.69006,0.99228,0.0004225,0.0004225,0.0004225
9,5687.32,1.24212,0.61772,1.02162,0.97926,0.97336,0.98673,0.62899,1.24334,0.56054,0.9964,0.00034,0.00034,0.00034
10,6300.08,1.22866,0.62137,1.01286,0.95366,0.93341,0.98133,0.63584,1.21083,0.59361,0.98156,0.0002575,0.0002575,0.0002575
11,6888.97,1.18067,0.55292,0.99446,0.97975,0.97946,0.98822,0.64024,1.20301,0.48981,0.97954,0.000175,0.000175,0.000175
12,7452.7,1.16802,0.52979,0.9919,0.9839,0.98957,0.99047,0.66044,1.14616,0.45876,0.96181,9.25e-05,9.25e-05,9.25e-05
